t	K	U	E	T	P
12680	873.0389924316011	-4886.77617300626	-4013.73718057466	0.6736411978638898	0.5311084428958633
12700	890.0430993090558	-4896.7484046596155	-4006.7053053505597	0.6867616507014319	0.6402825233569425
12720	885.1051793818199	-4893.937791852753	-4008.8326124709347	0.682951527300787	0.6118392593698887
12740	872.469649336835	-4881.195888133783	-4008.726238796947	0.6732018899203973	0.5108146461135388
12760	897.1980173955762	-4901.959408558402	-4004.761391162826	0.6922824208299199	0.5945721086585822
12780	873.4216663276062	-4883.504066256877	-4010.0823999292684	0.673936470931795	0.4335790453235212
12800	895.6688563297173	-4909.998493999499	-4014.329637669782	0.6911025126000903	0.6561457130570226
12820	870.046044440852	-4881.543847122461	-4011.497802681609	0.6713318244142376	0.4890021876389614
12840	891.7805688153951	-4910.253099370212	-4018.4725305548177	0.6881022907526193	0.6653369275689229
12860	868.1862028317935	-4889.586053191905	-4021.399850360112	0.6698967614442851	0.5224851714658223
12880	875.6030549088161	-4890.190113625922	-4014.5870587171057	0.6756196411333458	0.507963905784285
12900	875.278792063748	-4884.542225509299	-4009.2634334455497	0.6753694383207933	0.5042867673610179
12920	889.7323852759064	-4901.091339771447	-4011.3589544955385	0.6865219022190638	0.5802480218917936
12940	883.1163689726463	-4893.484493427369	-4010.3681244547215	0.6814169513677829	0.4999985383402298
12960	880.7846258003295	-4879.826293577144	-3999.0416677768153	0.6796177668212421	0.45065944431426086
12980	886.0172642275427	-4887.726403950068	-4001.7091397225254	0.6836552964718693	0.5213512376686457
13000	909.895297404031	-4906.728189406267	-3996.832892002235	0.7020797047870608	0.634525250047554
13020	892.7073965783571	-4884.367105067143	-3991.659708488785	0.6888174356314484	0.47493447193265464
13040	879.6716035326941	-4880.855454893512	-4001.1838513608177	0.6787589533431281	0.4395540737056865
13060	906.325755021772	-4897.300786534609	-3990.9750315128354	0.6993254282575398	0.6180191309668154
13080	915.6077561347007	-4898.6436597784395	-3983.035903643738	0.7064874661533187	0.6384871491055624
13100	880.3104984322512	-4870.191366311575	-3989.880867879324	0.679251927802663	0.42958193350511265
13120	876.0007451768706	-4872.537763308116	-3996.5370181312455	0.6759265009080794	0.4237728168252038
13140	901.3094053057479	-4883.692501698807	-3982.3830963930586	0.6954547880445587	0.5343824449536984
13160	906.6702524445521	-4885.3550374732995	-3978.6847850287463	0.6995912441701791	0.5502756842253845
13180	918.311899821997	-4900.852527466353	-3982.540627644356	0.7085739967762323	0.6579645426112724
13200	913.1657812617538	-4902.106215499692	-3988.940434237937	0.7046032262822175	0.6617399314475227
13220	905.6421623082779	-4894.773365985961	-3989.131203677686	0.6987979647440414	0.5843386624162478
13240	879.2789349636498	-4869.2817769959165	-3990.002842032267	0.6784559683361496	0.43097783869131134
13260	885.1532943756793	-4870.278612517104	-3985.125318141425	0.6829886530676537	0.45462993847668703
13280	891.7984773071869	-4875.70916598217	-3983.9106886749832	0.6881161090333232	0.4857437656079641
13300	900.2614251253132	-4882.073495993401	-3981.8120708680885	0.6946461613621243	0.5873950060885942
13320	895.2870249799369	-4886.598301834139	-3991.3112768542023	0.690807889645013	0.6152805194905875
13340	881.3123408437408	-4877.607347925351	-3996.29500708161	0.6800249543547381	0.4841767631591326
13360	873.8541898702637	-4872.083964513555	-3998.2297746432914	0.6742702082332281	0.4598160420368006
13380	871.7485334552205	-4865.209451979759	-3993.460918524538	0.6726454733450776	0.41269911563968414
13400	885.2534004860867	-4878.839014105712	-3993.5856136196257	0.6830658954367952	0.45772747933284286
13420	872.1997883016577	-4864.688610343293	-3992.4888220416333	0.6729936638130074	0.3782318959627614
13440	891.2181093140643	-4889.414506890483	-3998.1963975764183	0.6876682942238151	0.5763676181885025
13460	902.1815026184588	-4903.0188352536015	-4000.837332635144	0.6961277026376999	0.697254321140519
13480	887.4240220103377	-4886.890537767425	-3999.4665157570853	0.684740757724026	0.6342118959611877
13500	900.4906831631461	-4892.9840680338575	-3992.4933848707124	0.6948230579962547	0.6777680000507452
13520	924.3195597109959	-4897.6824926633035	-3973.3629329523064	0.7132095368140401	0.697397484876269
